ID_Cliente,Evasion,Genero,Adulto_Mayor,Socio,Dependientes,Meses_Antiguedad,Servicio_Telefonico,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,TV_Streaming,Peliculas_Streaming,Tipo_Contrato,Facturacion_Digital,Metodo_Pago,Cargos_Mensuales,Cargos_Diarios,Cargos_Totales
0002-ORFBO,0,femenino,0,1,1,9,1,0,dsl,0,1,0,1,1,0,un_ano,1,cheque_correo,65.6,2.19,593.3
0003-MKNFE,0,masculino,0,0,0,9,1,1,dsl,0,0,0,0,0,1,mes_a_mes,0,cheque_correo,59.9,2.0,542.4
0004-TLHLJ,1,masculino,0,0,0,4,1,0,fibra_optica,0,0,1,0,0,0,mes_a_mes,1,cheque_electronico,73.9,2.46,280.85
0011-IGKFF,1,masculino,1,1,0,13,1,0,fibra_optica,0,1,1,0,1,1,mes_a_mes,1,cheque_electronico,98.0,3.27,1237.85
0013-EXCHZ,1,femenino,1,1,0,3,1,0,fibra_optica,0,0,0,1,1,0,mes_a_mes,1,cheque_correo,83.9,2.8,267.4
0013-MHZWF,0,femenino,0,0,1,9,1,0,dsl,0,0,0,1,1,1,mes_a_mes,1,credit card (automatic),69.4,2.31,571.45
0013-SMEOE,0,femenino,1,1,0,71,1,0,fibra_optica,1,1,1,1,1,1,dos_anos,1,bank transfer (automatic),109.7,3.66,7904.25
0014-BMAQU,0,masculino,0,1,0,63,1,1,fibra_optica,1,0,0,1,0,0,dos_anos,1,credit card (automatic),84.65,2.82,5377.8
0015-UOCOJ,0,femenino,1,0,0,7,1,0,dsl,1,0,0,0,0,0,mes_a_mes,1,cheque_electronico,48.2,1.61,340.35
0016-QLJIS,0,femenino,0,1,1,65,1,1,dsl,1,1,1,1,1,1,dos_anos,1,cheque_correo,90.45,3.02,5957.9
0017-DINOC,0,masculino,0,0,0,54,0,0,dsl,1,0,0,1,1,0,dos_anos,0,credit card (automatic),45.2,1.51,2460.55
0017-IUDMW,0,femenino,0,1,1,72,1,1,fibra_optica,1,1,1,1,1,1,dos_anos,1,credit card (automatic),116.8,3.89,8456.75
0018-NYROU,0,femenino,0,1,0,5,1,0,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,68.95,2.3,351.5
0019-EFAEP,0,femenino,0,0,0,72,1,1,fibra_optica,1,1,1,0,1,0,dos_anos,1,bank transfer (automatic),101.3,3.38,7261.25
0019-GFNTW,0,femenino,0,0,0,56,0,0,dsl,1,1,1,1,0,0,dos_anos,0,bank transfer (automatic),45.05,1.5,2560.1
0020-INWCK,0,femenino,0,1,1,71,1,1,fibra_optica,0,1,1,0,0,1,dos_anos,1,credit card (automatic),95.75,3.19,6849.4
0020-JDNXP,0,femenino,0,1,1,34,0,0,dsl,1,0,1,1,1,1,un_ano,0,cheque_correo,61.25,2.04,1993.2
0021-IKXGC,0,femenino,1,0,0,1,1,1,fibra_optica,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,72.1,2.4,72.1
0022-TCJCI,1,masculino,1,0,0,45,1,0,dsl,1,0,1,0,0,1,un_ano,0,credit card (automatic),62.7,2.09,2791.5
0023-HGHWL,1,masculino,1,0,0,1,0,0,dsl,0,0,0,0,0,0,mes_a_mes,1,cheque_electronico,25.1,0.84,25.1
0023-UYUPN,0,femenino,1,1,0,50,1,1,sin_internet,0,0,0,0,0,0,un_ano,0,cheque_electronico,25.2,0.84,1306.3
0023-XUOPT,1,femenino,0,1,0,13,1,1,fibra_optica,0,1,1,0,1,0,mes_a_mes,0,cheque_electronico,94.1,3.14,1215.6
0027-KWYKW,0,femenino,0,1,1,23,1,1,fibra_optica,0,0,0,0,1,0,mes_a_mes,1,cheque_electronico,83.75,2.79,1849.95
0030-FNXPP,0,femenino,0,0,0,3,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,19.85,0.66,57.2
0031-PVLZI,1,femenino,0,1,1,4,1,0,sin_internet,0,0,0,0,0,0,mes_a_mes,0,cheque_correo,20.35,0.68,76.35
0032-PGELS,1,femenino,0,1,1,1,0,0,dsl,1,0,0,0,0,0,mes_a_mes,0,bank transfer (automatic),30.5,1.02,30.5
0036-IHMOT,0,femenino,0,1,1,55,1,0,fibra_optica,0,1,1,1,1,1,un_ano,1,bank transfer (automatic),103.7,3.46,5656.75
